"","sample_id","project","s_project","organ","marker","type","control_type","code","nb_reads","nb_motus","low_contamination_level","seqdepth_ok","nb_reads_postmetabaR","nb_motus_postmetabaR","name","family"
"DRYER_natura_leaf_16S_55_NA","DRYER_natura_leaf_16S_55_NA","DRYER","natura","leaf","16S","sample",NA,"55",10715,515,TRUE,TRUE,10194,453,"Jacaranda_copaia","Bignoniaceae"
"DRYER_natura_leaf_16S_56_NA","DRYER_natura_leaf_16S_56_NA","DRYER","natura","leaf","16S","sample",NA,"56",12527,636,TRUE,TRUE,11901,558,"Tachigali_melinonii","Fabaceae"
"DRYER_natura_leaf_16S_57_NA","DRYER_natura_leaf_16S_57_NA","DRYER","natura","leaf","16S","sample",NA,"57",24150,813,TRUE,TRUE,23272,753,"Virola_surinamensis","Myristicaceae"
"DRYER_natura_leaf_16S_58_NA","DRYER_natura_leaf_16S_58_NA","DRYER","natura","leaf","16S","sample",NA,"58",25744,705,TRUE,TRUE,24623,659,"Pterocarpus_officinalis","Fabaceae"
"DRYER_natura_leaf_16S_59_NA","DRYER_natura_leaf_16S_59_NA","DRYER","natura","leaf","16S","sample",NA,"59",35128,853,TRUE,TRUE,34321,802,"Pterocarpus_officinalis","Fabaceae"
"DRYER_natura_leaf_16S_60_NA","DRYER_natura_leaf_16S_60_NA","DRYER","natura","leaf","16S","sample",NA,"60",17679,564,TRUE,TRUE,17343,504,"Pterocarpus_officinalis","Fabaceae"
"DRYER_natura_leaf_16S_62_NA","DRYER_natura_leaf_16S_62_NA","DRYER","natura","leaf","16S","sample",NA,"62",52730,774,TRUE,TRUE,50325,745,"Virola_surinamensis","Myristicaceae"
"DRYER_natura_leaf_16S_63_NA","DRYER_natura_leaf_16S_63_NA","DRYER","natura","leaf","16S","sample",NA,"63",24150,801,TRUE,TRUE,23247,749,"Virola_surinamensis","Myristicaceae"
"DRYER_natura_leaf_16S_64_NA","DRYER_natura_leaf_16S_64_NA","DRYER","natura","leaf","16S","sample",NA,"64",26274,908,TRUE,TRUE,25479,847,"Virola_surinamensis","Myristicaceae"
"DRYER_natura_leaf_16S_65_NA","DRYER_natura_leaf_16S_65_NA","DRYER","natura","leaf","16S","sample",NA,"65",17003,773,TRUE,TRUE,16376,688,"Virola_surinamensis","Myristicaceae"
"DRYER_natura_leaf_16S_66_NA","DRYER_natura_leaf_16S_66_NA","DRYER","natura","leaf","16S","sample",NA,"66",17656,807,TRUE,TRUE,16955,743,"Virola_surinamensis","Myristicaceae"
"DRYER_natura_leaf_16S_67_NA","DRYER_natura_leaf_16S_67_NA","DRYER","natura","leaf","16S","sample",NA,"67",27182,899,TRUE,TRUE,26376,831,"Virola_surinamensis","Myristicaceae"
"DRYER_natura_leaf_16S_68_NA","DRYER_natura_leaf_16S_68_NA","DRYER","natura","leaf","16S","sample",NA,"68",18675,850,TRUE,TRUE,17902,786,"Virola_surinamensis","Myristicaceae"
"DRYER_natura_leaf_16S_69_NA","DRYER_natura_leaf_16S_69_NA","DRYER","natura","leaf","16S","sample",NA,"69",15996,736,TRUE,TRUE,15182,651,"Tachigali_melinonii","Fabaceae"
